[2024-04-25 14:16:19] Query testing started
[2024-04-25 14:25:01] Query 10, Iteration 19 started
[2024-04-25 14:25:22] Query 10, Iteration 19 finished
[2024-04-25 14:25:22] Query 10, Iteration 20 started
[2024-04-25 14:25:43] Query 10, Iteration 20 finished
[2024-04-25 14:25:43] Query 11, Iteration 1 started
[2024-04-25 14:26:51] Query 11, Iteration 1 finished
[2024-04-25 14:26:51] Query 11, Iteration 2 started
[2024-04-25 14:27:55] Query 11, Iteration 2 finished
[2024-04-25 14:27:55] Query 11, Iteration 3 started
[2024-04-25 14:29:00] Query 11, Iteration 3 finished
[2024-04-25 14:29:00] Query 11, Iteration 4 started
[2024-04-25 14:30:05] Query 11, Iteration 4 finished
[2024-04-25 14:30:05] Query 11, Iteration 5 started
[2024-04-25 14:31:10] Query 11, Iteration 5 finished
[2024-04-25 14:31:10] Query 11, Iteration 6 started
[2024-04-25 14:32:17] Query 11, Iteration 6 finished
[2024-04-25 14:32:17] Query 11, Iteration 7 started
[2024-04-25 14:33:21] Query 11, Iteration 7 finished
[2024-04-25 14:33:21] Query 11, Iteration 8 started
[2024-04-25 14:34:26] Query 11, Iteration 8 finished
[2024-04-25 14:34:26] Query 11, Iteration 9 started
[2024-04-25 14:35:30] Query 11, Iteration 9 finished
[2024-04-25 14:35:30] Query 11, Iteration 10 started
[2024-04-25 14:36:35] Query 11, Iteration 10 finished
[2024-04-25 14:36:35] Query 11, Iteration 11 started
[2024-04-25 14:37:38] Query 11, Iteration 11 finished
[2024-04-25 14:37:38] Query 11, Iteration 12 started
[2024-04-25 14:38:42] Query 11, Iteration 12 finished
[2024-04-25 14:38:42] Query 11, Iteration 13 started
[2024-04-25 14:39:46] Query 11, Iteration 13 finished
[2024-04-25 14:39:46] Query 11, Iteration 14 started
[2024-04-25 14:40:51] Query 11, Iteration 14 finished
[2024-04-25 14:40:51] Query 11, Iteration 15 started
[2024-04-25 14:41:56] Query 11, Iteration 15 finished
[2024-04-25 14:41:56] Query 11, Iteration 16 started
[2024-04-25 14:43:00] Query 11, Iteration 16 finished
[2024-04-25 14:43:00] Query 11, Iteration 17 started
[2024-04-25 14:44:03] Query 11, Iteration 17 finished
[2024-04-25 14:44:03] Query 11, Iteration 18 started
[2024-04-25 14:45:07] Query 11, Iteration 18 finished
[2024-04-25 14:45:07] Query 11, Iteration 19 started
[2024-04-25 14:46:11] Query 11, Iteration 19 finished
[2024-04-25 14:46:11] Query 11, Iteration 20 started
[2024-04-25 14:47:14] Query 11, Iteration 20 finished
[2024-04-25 14:47:14] Query 2-1, Iteration 1 started
[2024-04-25 14:47:21] Query 2-1, Iteration 1 finished
[2024-04-25 14:47:21] Query 2-1, Iteration 2 started
[2024-04-25 14:47:27] Query 2-1, Iteration 2 finished
[2024-04-25 14:47:27] Query 2-1, Iteration 3 started
[2024-04-25 14:47:34] Query 2-1, Iteration 3 finished
[2024-04-25 14:47:34] Query 2-1, Iteration 4 started
[2024-04-25 14:47:41] Query 2-1, Iteration 4 finished
[2024-04-25 14:47:41] Query 2-1, Iteration 5 started
[2024-04-25 14:47:48] Query 2-1, Iteration 5 finished
[2024-04-25 14:47:48] Query 2-1, Iteration 6 started
[2024-04-25 14:47:54] Query 2-1, Iteration 6 finished
[2024-04-25 14:47:54] Query 2-1, Iteration 7 started
[2024-04-25 14:48:00] Query 2-1, Iteration 7 finished
[2024-04-25 14:48:00] Query 2-1, Iteration 8 started
[2024-04-25 14:48:06] Query 2-1, Iteration 8 finished
[2024-04-25 14:48:06] Query 2-1, Iteration 9 started
[2024-04-25 14:48:13] Query 2-1, Iteration 9 finished
[2024-04-25 14:48:13] Query 2-1, Iteration 10 started
[2024-04-25 14:48:19] Query 2-1, Iteration 10 finished
[2024-04-25 14:48:19] Query 2-1, Iteration 11 started
[2024-04-25 14:48:26] Query 2-1, Iteration 11 finished
[2024-04-25 14:48:26] Query 2-1, Iteration 12 started
[2024-04-25 14:48:32] Query 2-1, Iteration 12 finished
[2024-04-25 14:48:32] Query 2-1, Iteration 13 started
[2024-04-25 14:48:39] Query 2-1, Iteration 13 finished
[2024-04-25 14:48:39] Query 2-1, Iteration 14 started
[2024-04-25 14:48:46] Query 2-1, Iteration 14 finished
[2024-04-25 14:48:46] Query 2-1, Iteration 15 started
[2024-04-25 14:48:52] Query 2-1, Iteration 15 finished
[2024-04-25 14:48:52] Query 2-1, Iteration 16 started
[2024-04-25 14:48:59] Query 2-1, Iteration 16 finished
[2024-04-25 14:48:59] Query 2-1, Iteration 17 started
[2024-04-25 14:49:05] Query 2-1, Iteration 17 finished
[2024-04-25 14:49:05] Query 2-1, Iteration 18 started
[2024-04-25 14:49:12] Query 2-1, Iteration 18 finished
[2024-04-25 14:49:12] Query 2-1, Iteration 19 started
[2024-04-25 14:49:19] Query 2-1, Iteration 19 finished
[2024-04-25 14:49:19] Query 2-1, Iteration 20 started
[2024-04-25 14:49:26] Query 2-1, Iteration 20 finished
[2024-04-25 14:49:26] Query 2-2, Iteration 1 started
[2024-04-25 14:49:33] Query 2-2, Iteration 1 finished
[2024-04-25 14:49:33] Query 2-2, Iteration 2 started
[2024-04-25 14:49:40] Query 2-2, Iteration 2 finished
[2024-04-25 14:49:40] Query 2-2, Iteration 3 started
[2024-04-25 14:49:47] Query 2-2, Iteration 3 finished
[2024-04-25 14:49:47] Query 2-2, Iteration 4 started
[2024-04-25 14:49:54] Query 2-2, Iteration 4 finished
[2024-04-25 14:49:54] Query 2-2, Iteration 5 started
[2024-04-25 14:50:01] Query 2-2, Iteration 5 finished
[2024-04-25 14:50:01] Query 2-2, Iteration 6 started
[2024-04-25 14:50:08] Query 2-2, Iteration 6 finished
[2024-04-25 14:50:08] Query 2-2, Iteration 7 started
[2024-04-25 14:50:15] Query 2-2, Iteration 7 finished
[2024-04-25 14:50:15] Query 2-2, Iteration 8 started
