[2024-04-01 10:23:22] Query testing started
[2024-04-01 10:43:45] Query 2-1, Iteration 5 started
[2024-04-01 10:43:50] Query 2-1, Iteration 5 finished
[2024-04-01 10:43:50] Query 2-1, Iteration 6 started
[2024-04-01 10:43:54] Query 2-1, Iteration 6 finished
[2024-04-01 10:43:54] Query 2-1, Iteration 7 started
[2024-04-01 10:43:58] Query 2-1, Iteration 7 finished
[2024-04-01 10:43:58] Query 2-1, Iteration 8 started
[2024-04-01 10:44:02] Query 2-1, Iteration 8 finished
[2024-04-01 10:44:02] Query 2-1, Iteration 9 started
[2024-04-01 10:44:06] Query 2-1, Iteration 9 finished
[2024-04-01 10:44:06] Query 2-1, Iteration 10 started
[2024-04-01 10:44:11] Query 2-1, Iteration 10 finished
[2024-04-01 10:44:11] Query 2-1, Iteration 11 started
[2024-04-01 10:44:15] Query 2-1, Iteration 11 finished
[2024-04-01 10:44:15] Query 2-1, Iteration 12 started
[2024-04-01 10:44:19] Query 2-1, Iteration 12 finished
[2024-04-01 10:44:19] Query 2-1, Iteration 13 started
[2024-04-01 10:44:24] Query 2-1, Iteration 13 finished
[2024-04-01 10:44:24] Query 2-1, Iteration 14 started
[2024-04-01 10:44:28] Query 2-1, Iteration 14 finished
[2024-04-01 10:44:28] Query 2-1, Iteration 15 started
[2024-04-01 10:44:33] Query 2-1, Iteration 15 finished
[2024-04-01 10:44:33] Query 2-1, Iteration 16 started
[2024-04-01 10:44:37] Query 2-1, Iteration 16 finished
[2024-04-01 10:44:37] Query 2-1, Iteration 17 started
[2024-04-01 10:44:41] Query 2-1, Iteration 17 finished
[2024-04-01 10:44:41] Query 2-1, Iteration 18 started
[2024-04-01 10:44:46] Query 2-1, Iteration 18 finished
[2024-04-01 10:44:46] Query 2-1, Iteration 19 started
[2024-04-01 10:44:50] Query 2-1, Iteration 19 finished
[2024-04-01 10:44:50] Query 2-1, Iteration 20 started
[2024-04-01 10:44:54] Query 2-1, Iteration 20 finished
[2024-04-01 10:44:54] Query 2-2, Iteration 1 started
[2024-04-01 10:44:59] Query 2-2, Iteration 1 finished
[2024-04-01 10:44:59] Query 2-2, Iteration 2 started
[2024-04-01 10:45:04] Query 2-2, Iteration 2 finished
[2024-04-01 10:45:04] Query 2-2, Iteration 3 started
[2024-04-01 10:45:09] Query 2-2, Iteration 3 finished
[2024-04-01 10:45:09] Query 2-2, Iteration 4 started
[2024-04-01 10:45:14] Query 2-2, Iteration 4 finished
[2024-04-01 10:45:14] Query 2-2, Iteration 5 started
[2024-04-01 10:45:19] Query 2-2, Iteration 5 finished
[2024-04-01 10:45:19] Query 2-2, Iteration 6 started
[2024-04-01 10:45:23] Query 2-2, Iteration 6 finished
[2024-04-01 10:45:23] Query 2-2, Iteration 7 started
[2024-04-01 10:45:28] Query 2-2, Iteration 7 finished
[2024-04-01 10:45:28] Query 2-2, Iteration 8 started
[2024-04-01 10:45:33] Query 2-2, Iteration 8 finished
[2024-04-01 10:45:33] Query 2-2, Iteration 9 started
[2024-04-01 10:45:38] Query 2-2, Iteration 9 finished
[2024-04-01 10:45:38] Query 2-2, Iteration 10 started
[2024-04-01 10:45:42] Query 2-2, Iteration 10 finished
[2024-04-01 10:45:42] Query 2-2, Iteration 11 started
[2024-04-01 10:45:46] Query 2-2, Iteration 11 finished
[2024-04-01 10:45:46] Query 2-2, Iteration 12 started
[2024-04-01 10:45:50] Query 2-2, Iteration 12 finished
[2024-04-01 10:45:50] Query 2-2, Iteration 13 started
[2024-04-01 10:45:55] Query 2-2, Iteration 13 finished
[2024-04-01 10:45:55] Query 2-2, Iteration 14 started
[2024-04-01 10:45:59] Query 2-2, Iteration 14 finished
[2024-04-01 10:45:59] Query 2-2, Iteration 15 started
[2024-04-01 10:46:04] Query 2-2, Iteration 15 finished
[2024-04-01 10:46:04] Query 2-2, Iteration 16 started
[2024-04-01 10:46:08] Query 2-2, Iteration 16 finished
[2024-04-01 10:46:08] Query 2-2, Iteration 17 started
[2024-04-01 10:46:13] Query 2-2, Iteration 17 finished
[2024-04-01 10:46:13] Query 2-2, Iteration 18 started
[2024-04-01 10:46:18] Query 2-2, Iteration 18 finished
[2024-04-01 10:46:18] Query 2-2, Iteration 19 started
[2024-04-01 10:46:22] Query 2-2, Iteration 19 finished
[2024-04-01 10:46:22] Query 2-2, Iteration 20 started
[2024-04-01 10:46:27] Query 2-2, Iteration 20 finished
[2024-04-01 10:46:27] Query 3-1, Iteration 1 started
The transaction has been terminated. Retry your operation in a new transaction, and you should see a successful result. The transaction has not completed within the timeout specified at its start by the client. You may want to retry with a longer timeout. 
[2024-04-01 10:51:29] Query 3-2, Iteration 1 started
Index is still populating: IndexPopulationJob[populator:MultipleIndexPopulator{activeTasks=0, batchedUpdatesFromScan = [org.neo4j.kernel.impl.api.index.MultipleIndexPopulator$IndexPopulation@32bb7814], concurrentUpdateQueue = 0}]
[2024-04-01 10:51:31] Query 3-3, Iteration 1 started
[2024-04-01 10:54:48] Query 3-3, Iteration 1 finished
[2024-04-01 10:54:48] Query 3-3, Iteration 2 started
[2024-04-01 10:58:09] Query 3-3, Iteration 2 finished
[2024-04-01 10:58:09] Query 3-3, Iteration 3 started
[2024-04-01 11:01:28] Query 3-3, Iteration 3 finished
[2024-04-01 11:01:28] Query 3-3, Iteration 4 started
[2024-04-01 11:04:47] Query 3-3, Iteration 4 finished
[2024-04-01 11:04:47] Query 3-3, Iteration 5 started
[2024-04-01 11:08:05] Query 3-3, Iteration 5 finished
[2024-04-01 11:08:05] Query 3-3, Iteration 6 started
[2024-04-01 11:11:24] Query 3-3, Iteration 6 finished
[2024-04-01 11:11:24] Query 3-3, Iteration 7 started
[2024-04-01 11:14:44] Query 3-3, Iteration 7 finished
[2024-04-01 11:14:44] Query 3-3, Iteration 8 started
[2024-04-01 11:18:05] Query 3-3, Iteration 8 finished
[2024-04-01 11:18:05] Query 3-3, Iteration 9 started
[2024-04-01 11:21:23] Query 3-3, Iteration 9 finished
[2024-04-01 11:21:23] Query 3-3, Iteration 10 started
[2024-04-01 11:24:47] Query 3-3, Iteration 10 finished
[2024-04-01 11:24:47] Query 3-3, Iteration 11 started
[2024-04-01 11:28:04] Query 3-3, Iteration 11 finished
[2024-04-01 11:28:04] Query 3-3, Iteration 12 started
[2024-04-01 11:31:18] Query 3-3, Iteration 12 finished
[2024-04-01 11:31:18] Query 3-3, Iteration 13 started
[2024-04-01 11:34:40] Query 3-3, Iteration 13 finished
[2024-04-01 11:34:40] Query 3-3, Iteration 14 started
[2024-04-01 11:38:00] Query 3-3, Iteration 14 finished
[2024-04-01 11:38:00] Query 3-3, Iteration 15 started
[2024-04-01 11:41:20] Query 3-3, Iteration 15 finished
[2024-04-01 11:41:20] Query 3-3, Iteration 16 started
[2024-04-01 11:44:40] Query 3-3, Iteration 16 finished
[2024-04-01 11:44:40] Query 3-3, Iteration 17 started
[2024-04-01 11:48:03] Query 3-3, Iteration 17 finished
[2024-04-01 11:48:03] Query 3-3, Iteration 18 started
[2024-04-01 11:51:25] Query 3-3, Iteration 18 finished
[2024-04-01 11:51:25] Query 3-3, Iteration 19 started
[2024-04-01 11:54:46] Query 3-3, Iteration 19 finished
[2024-04-01 11:54:46] Query 3-3, Iteration 20 started
[2024-04-01 11:58:06] Query 3-3, Iteration 20 finished
[2024-04-01 11:58:06] Query 3-4, Iteration 1 started
[2024-04-01 11:58:43] Query 3-4, Iteration 1 finished
[2024-04-01 11:58:43] Query 3-4, Iteration 2 started
[2024-04-01 11:59:19] Query 3-4, Iteration 2 finished
[2024-04-01 11:59:19] Query 3-4, Iteration 3 started
[2024-04-01 11:59:55] Query 3-4, Iteration 3 finished
[2024-04-01 11:59:55] Query 3-4, Iteration 4 started
[2024-04-01 12:00:32] Query 3-4, Iteration 4 finished
[2024-04-01 12:00:32] Query 3-4, Iteration 5 started
[2024-04-01 12:01:06] Query 3-4, Iteration 5 finished
[2024-04-01 12:01:06] Query 3-4, Iteration 6 started
[2024-04-01 12:01:41] Query 3-4, Iteration 6 finished
[2024-04-01 12:01:41] Query 3-4, Iteration 7 started
[2024-04-01 12:02:16] Query 3-4, Iteration 7 finished
[2024-04-01 12:02:16] Query 3-4, Iteration 8 started
[2024-04-01 12:02:50] Query 3-4, Iteration 8 finished
[2024-04-01 12:02:50] Query 3-4, Iteration 9 started
[2024-04-01 12:03:26] Query 3-4, Iteration 9 finished
[2024-04-01 12:03:26] Query 3-4, Iteration 10 started
[2024-04-01 12:04:03] Query 3-4, Iteration 10 finished
[2024-04-01 12:04:03] Query 3-4, Iteration 11 started
[2024-04-01 12:04:40] Query 3-4, Iteration 11 finished
[2024-04-01 12:04:40] Query 3-4, Iteration 12 started
[2024-04-01 12:05:15] Query 3-4, Iteration 12 finished
[2024-04-01 12:05:15] Query 3-4, Iteration 13 started
[2024-04-01 12:05:51] Query 3-4, Iteration 13 finished
[2024-04-01 12:05:51] Query 3-4, Iteration 14 started
[2024-04-01 12:06:27] Query 3-4, Iteration 14 finished
[2024-04-01 12:06:27] Query 3-4, Iteration 15 started
[2024-04-01 12:07:03] Query 3-4, Iteration 15 finished
[2024-04-01 12:07:03] Query 3-4, Iteration 16 started
[2024-04-01 12:07:38] Query 3-4, Iteration 16 finished
[2024-04-01 12:07:38] Query 3-4, Iteration 17 started
[2024-04-01 12:08:13] Query 3-4, Iteration 17 finished
[2024-04-01 12:08:13] Query 3-4, Iteration 18 started
